source_script,seed,status,result_file,Model,N_test,AUROC,AUPRC,Accuracy,Precision,Recall_Sensitivity,Specificity,F1,Brier,Threshold,Best_Val_AUROC,Best_Epoch,Val_AUROC,Val_AUPRC
train_medbert_365d_control,44,SUCCESS,multiseed_runs/train_medbert_365d_control/seed_44/medbert_365d_control_results.csv,Med-BERT-style 365d Control,1337,0.7395477647873362,0.1998663007980285,0.818997756170531,0.1883408071748878,0.4077669902912621,0.853322528363047,0.2576687116564417,0.1588816052930292,0.6299999999999998,0.7149977558878415,6.0,,
train_medbert_365d_control,45,SUCCESS,multiseed_runs/train_medbert_365d_control/seed_45/medbert_365d_control_results.csv,Med-BERT-style 365d Control,1337,0.736023036616261,0.2243837473241977,0.818997756170531,0.209205020920502,0.4854368932038835,0.846839546191248,0.2923976608187134,0.1261259081168229,0.4049999999999998,0.7249427160843787,6.0,,
train_medbert_365d_control,46,SUCCESS,multiseed_runs/train_medbert_365d_control/seed_46/medbert_365d_control_results.csv,Med-BERT-style 365d Control,1337,0.7221758902298943,0.1878056657243952,0.8593866866118175,0.1897810218978102,0.2524271844660194,0.9100486223662884,0.2166666666666666,0.1501803020862429,0.5899999999999997,0.7397381081740801,5.0,,
train_structured_baselines_365d,43,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_43/structured_baselines_365d_results.csv,Logistic Regression 365d,1337,0.7051777312709477,0.1819950033655117,0.8384442782348541,0.2041884816753926,0.3786407766990291,0.8768233387358185,0.2653061224489796,0.2266836364182123,0.5849999999999997,,,0.6577059661887101,0.154680506740679
train_structured_baselines_365d,43,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_43/structured_baselines_365d_results.csv,Random Forest 365d,1337,0.5900929961762993,0.103510681576986,0.6843679880329095,0.1022443890274314,0.3980582524271844,0.7082658022690438,0.1626984126984127,0.1232992583774146,0.1449999999999999,,,0.5383152623249002,0.1096517693699779
train_structured_baselines_365d,43,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_43/structured_baselines_365d_results.csv,XGBoost 365d,1337,0.6556663152428758,0.1467019664578853,0.7344801795063575,0.125,0.4077669902912621,0.7617504051863857,0.1913439635535307,0.1954871229818523,0.5249999999999998,,,0.630804179560469,0.1088100383381685
train_structured_baselines_365d,43,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_43/structured_baselines_365d_results.csv,MLP 365d,1337,0.7058543531966452,0.1744461784423206,0.6791323859386686,0.1456521739130434,0.6504854368932039,0.6815235008103727,0.2380106571936056,0.2398490768928629,0.5349999999999998,,,0.6556035874298223,0.1585875769874616
train_structured_baselines_365d,44,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_44/structured_baselines_365d_results.csv,Logistic Regression 365d,1337,0.7051777312709477,0.1819950033655117,0.8384442782348541,0.2041884816753926,0.3786407766990291,0.8768233387358185,0.2653061224489796,0.2266836364182123,0.5849999999999997,,,0.6577059661887101,0.154680506740679
train_structured_baselines_365d,44,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_44/structured_baselines_365d_results.csv,Random Forest 365d,1337,0.5977049928403959,0.1055590279982825,0.6761406133133882,0.1090047393364928,0.4466019417475728,0.6952998379254457,0.1752380952380952,0.1227845234814929,0.1049999999999999,,,0.5420633233332547,0.1155395231818329
train_structured_baselines_365d,44,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_44/structured_baselines_365d_results.csv,XGBoost 365d,1337,0.646697140878979,0.1549618766812757,0.6896035901271503,0.1080402010050251,0.4174757281553398,0.7123176661264181,0.1716566866267465,0.196628246078265,0.5049999999999998,,,0.627414389089678,0.1103050121421921
train_structured_baselines_365d,44,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_44/structured_baselines_365d_results.csv,MLP 365d,1337,0.707168258563988,0.1762248016331812,0.6484667165295438,0.1366336633663366,0.6699029126213593,0.646677471636953,0.2269736842105263,0.2335157757223698,0.5099999999999998,,,0.6564382396711785,0.1563645757500717
train_structured_baselines_365d,45,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_45/structured_baselines_365d_results.csv,Logistic Regression 365d,1337,0.7051777312709477,0.1819950033655117,0.8384442782348541,0.2041884816753926,0.3786407766990291,0.8768233387358185,0.2653061224489796,0.2266836364182123,0.5849999999999997,,,0.6577059661887101,0.154680506740679
train_structured_baselines_365d,45,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_45/structured_baselines_365d_results.csv,Random Forest 365d,1337,0.5934957750468127,0.1054009156746313,0.6447270007479432,0.1075949367088607,0.4951456310679611,0.6572123176661264,0.1767764298093587,0.1221320669232821,0.065,,,0.545126339577477,0.1107782255875851
train_structured_baselines_365d,45,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_45/structured_baselines_365d_results.csv,XGBoost 365d,1337,0.6482470771506349,0.1402354273154875,0.5759162303664922,0.1067796610169491,0.6116504854368932,0.5729335494327391,0.1818181818181818,0.1962948861051377,0.4399999999999998,,,0.6321860802053558,0.1103971098280958
train_structured_baselines_365d,45,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_45/structured_baselines_365d_results.csv,MLP 365d,1337,0.7117708611980929,0.1864143942265397,0.700074794315632,0.1534883720930232,0.6407766990291263,0.7050243111831442,0.24765478424015,0.2375414496299106,0.5349999999999998,,,0.6525287600689769,0.1541840922803738
train_structured_baselines_365d,46,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_46/structured_baselines_365d_results.csv,Logistic Regression 365d,1337,0.7051777312709477,0.1819950033655117,0.8384442782348541,0.2041884816753926,0.3786407766990291,0.8768233387358185,0.2653061224489796,0.2266836364182123,0.5849999999999997,,,0.6577059661887101,0.154680506740679
train_structured_baselines_365d,46,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_46/structured_baselines_365d_results.csv,Random Forest 365d,1337,0.5962534027788704,0.1052590757871949,0.6267763649962603,0.1071428571428571,0.5242718446601942,0.6353322528363047,0.1779242174629324,0.1231746345768033,0.05,,,0.5493153489397554,0.1107505869629477
train_structured_baselines_365d,46,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_46/structured_baselines_365d_results.csv,XGBoost 365d,1337,0.6584829507010117,0.1529432541856802,0.7531787584143605,0.1326860841423948,0.3980582524271844,0.7828200972447326,0.1990291262135922,0.1960212189647532,0.5399999999999998,,,0.6261860329608895,0.1088574949769278
train_structured_baselines_365d,46,SUCCESS,multiseed_runs/train_structured_baselines_365d/seed_46/structured_baselines_365d_results.csv,MLP 365d,1337,0.7082697361174489,0.1780617669823167,0.706058339566193,0.1497584541062802,0.6019417475728155,0.7147487844408428,0.2398452611218568,0.2614464425010709,0.5699999999999998,,,0.6539815274136017,0.1539186603430899
train_timeaware_behrt_365d,43,SUCCESS,multiseed_runs/train_timeaware_behrt_365d/seed_43/timeaware_behrt_365d_results.csv,Time-Aware BEHRT 365d,1337,0.6612720492203112,0.1213387177547069,0.8017950635751683,0.1318181818181818,0.2815533980582524,0.8452188006482982,0.1795665634674922,0.1924922637351718,0.7349999999999997,0.6965724139560154,9.0,,
train_timeaware_behrt_365d,44,SUCCESS,multiseed_runs/train_timeaware_behrt_365d/seed_44/timeaware_behrt_365d_results.csv,Time-Aware BEHRT 365d,1337,0.6747100753725355,0.1248144379652776,0.8332086761406133,0.1385542168674698,0.2233009708737864,0.8841166936790924,0.1710037174721189,0.1414536032649714,0.6649999999999997,0.6901786628241167,9.0,,
train_timeaware_behrt_365d,45,SUCCESS,multiseed_runs/train_timeaware_behrt_365d/seed_45/timeaware_behrt_365d_results.csv,Time-Aware BEHRT 365d,1337,0.6709257132067157,0.1479841452320945,0.7322363500373972,0.1487603305785124,0.5242718446601942,0.7495948136142626,0.2317596566523605,0.167561063211837,0.4249999999999998,0.6988952668918653,9.0,,
train_timeaware_behrt_365d,46,SUCCESS,multiseed_runs/train_timeaware_behrt_365d/seed_46/timeaware_behrt_365d_results.csv,Time-Aware BEHRT 365d,1337,0.6659847996097622,0.1150583794267202,0.7015706806282722,0.13,0.5048543689320388,0.7179902755267423,0.2067594433399602,0.2159458338408474,0.5599999999999998,0.7104071685603823,7.0,,
train_timeaware_biobert_365d,43,SUCCESS,multiseed_runs/train_timeaware_biobert_365d/seed_43/timeaware_biobert_diagtext_365d_results.csv,Time-Aware BioBERT Diagnosis-Text 365d,1337,0.7449056663152428,0.2556827232704374,0.8638743455497382,0.2451612903225806,0.3689320388349514,0.9051863857374391,0.2945736434108527,0.0714639079906732,0.1999999999999999,0.7468247781478594,4.0,,
train_timeaware_biobert_365d,44,SUCCESS,multiseed_runs/train_timeaware_biobert_365d/seed_44/timeaware_biobert_diagtext_365d_results.csv,Time-Aware BioBERT Diagnosis-Text 365d,1337,0.7144576796588569,0.2086865053909652,0.8354525056095736,0.208955223880597,0.4077669902912621,0.8711507293354943,0.2763157894736842,0.1578908820594457,0.7249999999999998,0.7496673202151197,2.0,,
train_timeaware_biobert_365d,45,SUCCESS,multiseed_runs/train_timeaware_biobert_365d/seed_45/timeaware_biobert_diagtext_365d_results.csv,Time-Aware BioBERT Diagnosis-Text 365d,1337,0.7335958521502415,0.1809349362182801,0.1151832460732984,0.0800933125972006,1.0,0.0413290113452188,0.148308135349172,0.1097856948365824,0.2649999999999999,0.7448601957495729,3.0,,
train_timeaware_biobert_365d,46,SUCCESS,multiseed_runs/train_timeaware_biobert_365d/seed_46/timeaware_biobert_diagtext_365d_results.csv,Time-Aware BioBERT Diagnosis-Text 365d,1337,0.7249295841135466,0.2416451654827272,0.7771129394166043,0.1782178217821782,0.5242718446601942,0.7982171799027553,0.2660098522167488,0.0955374510405391,0.1799999999999999,0.7709588264474524,5.0,,
train_timeaware_cehrbert_365d,43,SUCCESS,multiseed_runs/train_timeaware_cehrbert_365d/seed_43/timeaware_cehrbert_365d_results.csv,Time-Aware CEHR-BERT-style 365d,1337,0.683403880348067,0.1504307808127401,0.6858638743455497,0.135632183908046,0.5728155339805825,0.6952998379254457,0.2193308550185873,0.1500310558888287,0.1849999999999999,0.7182103796092882,10.0,,
train_timeaware_cehrbert_365d,44,SUCCESS,multiseed_runs/train_timeaware_cehrbert_365d/seed_44/timeaware_cehrbert_365d_results.csv,Time-Aware CEHR-BERT-style 365d,1337,0.6726015326273387,0.1325476370165555,0.7150336574420344,0.1361256544502617,0.5048543689320388,0.7325769854132901,0.2144329896907216,0.1441220731182667,0.3499999999999998,0.69660391026701,6.0,,
train_timeaware_cehrbert_365d,45,SUCCESS,multiseed_runs/train_timeaware_cehrbert_365d/seed_45/timeaware_cehrbert_365d_results.csv,Time-Aware CEHR-BERT-style 365d,1337,0.6646315557583674,0.1183722788292938,0.7763649962602842,0.1343283582089552,0.3495145631067961,0.8119935170178282,0.1940700808625337,0.1324991401593139,0.3899999999999998,0.7080685674690351,5.0,,
train_timeaware_cehrbert_365d,46,SUCCESS,multiseed_runs/train_timeaware_cehrbert_365d/seed_46/timeaware_cehrbert_365d_results.csv,Time-Aware CEHR-BERT-style 365d,1337,0.6417365580399993,0.1198270856287619,0.6858638743455497,0.1305361305361305,0.5436893203883495,0.6977309562398704,0.2105263157894736,0.1959944540843462,0.4649999999999998,0.7114937912896953,6.0,,
